person_id,full_name,age,gender,role,risk_score
PER_0962,Rajesh Joshi,31,Male,Lieutenant,0.97
PER_0963,Sanjay Pandey,27,Male,Courier,0.19
PER_0964,Rajesh Hussain,60,Male,Courier,0.52
PER_0965,Neha Nair,58,Male,Informant,0.45
PER_0966,Sunil Joshi,48,Male,Lieutenant,0.52
PER_0967,Manoj Shah,48,Male,Money Launderer,0.78
PER_0968,Vikram Deshmukh,25,Male,Lieutenant,0.39
PER_0969,Reyansh Malhotra,53,Male,Associate,0.31
PER_0970,Priya Yadav,29,Female,Associate,0.16
PER_0971,Pooja Rao,56,Male,Associate,0.6
PER_0972,Sunil Yadav,63,Male,Lieutenant,0.76
PER_0973,Dev Reddy,56,Male,Informant,0.59
PER_0974,Bilal Khan,38,Female,Lieutenant,0.63
PER_0975,Farhan Joshi,50,Male,Kingpin,0.18
PER_0976,Vikram Pandey,59,Male,Enforcer,0.69
PER_0977,Bilal Yadav,37,Male,Courier,0.27
PER_0978,Deepak Malhotra,55,Male,Money Launderer,0.92
PER_0979,Zubair Rao,41,Female,Kingpin,0.64
PER_0980,Imran Nair,37,Male,Kingpin,0.1
PER_0981,Manoj Reddy,37,Female,Smuggler,0.48
PER_0982,Imran Ali,39,Male,Associate,0.44
PER_0983,Pooja Hussain,30,Male,Smuggler,0.59
PER_0984,Ajay Bose,28,Male,Enforcer,0.22
PER_0985,Reyansh Ali,20,Male,Courier,0.69
PER_0986,Vikram Patel,27,Male,Associate,0.87
PER_0987,Zubair Mishra,30,Male,Associate,0.59
PER_0988,Bilal Das,41,Male,Associate,0.64
PER_0989,Dev Pillai,34,Male,Money Launderer,0.47
PER_0990,Ajay Verma,21,Male,Informant,0.2
PER_0991,Anil Rao,24,Male,Money Launderer,0.51
PER_0992,Arjun Deshmukh,58,Male,Courier,0.66
PER_0993,Reyansh Hussain,59,Male,Money Launderer,0.65
PER_0994,Sunil Yadav,19,Male,Courier,0.61
PER_0995,Sunil Bose,41,Female,Money Launderer,0.36
PER_0996,Aditya Rao,57,Male,Money Launderer,0.15
PER_0997,Anil Pandey,29,Male,Money Launderer,0.82
PER_0998,Vihaan Malhotra,50,Male,Lieutenant,0.86
PER_0999,Ramesh Gupta,27,Male,Money Launderer,0.86
PER_1000,Aarav Pillai,26,Male,Enforcer,0.69
